agent,agent_key,sqf,effective_trades,adj_win_rate,gain_from_wins,cost_from_losses,fp_distraction,fn_opportunity,transaction_cost,combined_profit_usd,combined_max_dd,combined_sharpe,system_score,tier,scanner_precision,scanner_recall,scanner_f1,scanner_profit_usd,signals_per_run,min_alignment_ratio,min_momentum_ratio,min_filter_score,min_signal_score,min_zscore,min_price_filter,scanner_tp,scanner_fp,scanner_fn
Momentum Agent,momentum,2.0,2.6,0.95,6992.74,220.82,0.0,176.0,6.54,6589.37,0.0643,10.0,96.44,S,1.0,0.7958,0.8863,8217.32,2,0.67,0.4,1.0,2.0,0.0,2.0,343,0,88
Momentum Agent,momentum,2.0,2.6,0.95,6992.74,220.82,0.0,176.0,6.54,6589.37,0.0643,10.0,96.44,S,1.0,0.7958,0.8863,8217.32,2,0.6,0.4,1.0,2.0,0.0,2.0,343,0,88
Momentum Agent,momentum,2.0,2.6,0.95,6992.74,220.82,0.0,176.0,6.54,6589.37,0.0643,10.0,96.44,S,1.0,0.7958,0.8863,8217.32,2,0.67,0.5,1.0,2.0,0.0,2.0,343,0,88
Momentum Agent,momentum,2.0,2.6,0.95,6992.74,220.82,0.0,176.0,6.54,6589.37,0.0643,10.0,96.44,S,1.0,0.7958,0.8863,8217.32,2,0.6,0.5,1.0,2.0,0.0,2.0,343,0,88
Momentum Agent,momentum,1.9942,2.6,0.95,6992.74,220.82,2.78,176.0,6.57,6586.58,0.0643,10.0,96.42,S,0.9971,0.7958,0.8852,8202.32,2,0.5,0.4,1.0,2.0,0.0,2.0,343,1,88
Momentum Agent,momentum,1.9942,2.6,0.95,6992.74,220.82,2.78,176.0,6.57,6586.58,0.0643,10.0,96.42,S,0.9971,0.7958,0.8852,8202.32,2,0.5,0.5,1.0,2.0,0.0,2.0,343,1,88
Momentum Agent,momentum,2.0,2.6,0.95,6850.03,216.32,0.0,190.0,6.43,6437.29,0.0643,10.0,96.24,S,1.0,0.7796,0.8761,8005.64,2,0.67,0.5,1.0,2.0,0.0,5.0,336,0,95
Momentum Agent,momentum,2.0,2.6,0.95,6850.03,216.32,0.0,190.0,6.43,6437.29,0.0643,10.0,96.24,S,1.0,0.7796,0.8761,8005.64,2,0.6,0.4,1.0,2.0,0.0,5.0,336,0,95
Momentum Agent,momentum,2.0,2.6,0.95,6850.03,216.32,0.0,190.0,6.43,6437.29,0.0643,10.0,96.24,S,1.0,0.7796,0.8761,8005.64,2,0.67,0.4,1.0,2.0,0.0,5.0,336,0,95
Momentum Agent,momentum,2.0,2.6,0.95,6850.03,216.32,0.0,190.0,6.43,6437.29,0.0643,10.0,96.24,S,1.0,0.7796,0.8761,8005.64,2,0.6,0.5,1.0,2.0,0.0,5.0,336,0,95
Momentum Agent,momentum,1.994,2.6,0.95,6850.03,216.32,2.78,190.0,6.45,6434.49,0.0643,10.0,96.21,S,0.997,0.7796,0.875,7990.64,2,0.5,0.4,1.0,2.0,0.0,5.0,336,1,95
Momentum Agent,momentum,1.994,2.6,0.95,6850.03,216.32,2.78,190.0,6.45,6434.49,0.0643,10.0,96.21,S,0.997,0.7796,0.875,7990.64,2,0.5,0.5,1.0,2.0,0.0,5.0,336,1,95
Momentum Agent,momentum,2.0,2.5,0.95,6585.0,207.95,0.0,216.0,6.17,6154.88,0.0643,10.0,95.85,S,1.0,0.7494,0.8568,7612.52,2,0.67,0.5,1.0,2.0,0.0,10.0,323,0,108
Momentum Agent,momentum,2.0,2.5,0.95,6585.0,207.95,0.0,216.0,6.17,6154.88,0.0643,10.0,95.85,S,1.0,0.7494,0.8568,7612.52,2,0.6,0.4,1.0,2.0,0.0,10.0,323,0,108
Momentum Agent,momentum,2.0,2.5,0.95,6585.0,207.95,0.0,216.0,6.17,6154.88,0.0643,10.0,95.85,S,1.0,0.7494,0.8568,7612.52,2,0.6,0.5,1.0,2.0,0.0,10.0,323,0,108
Momentum Agent,momentum,2.0,2.5,0.95,6585.0,207.95,0.0,216.0,6.17,6154.88,0.0643,10.0,95.85,S,1.0,0.7494,0.8568,7612.52,2,0.67,0.4,1.0,2.0,0.0,10.0,323,0,108
Momentum Agent,momentum,1.9938,2.5,0.95,6585.0,207.95,2.78,216.0,6.2,6152.08,0.0643,10.0,95.83,S,0.9969,0.7494,0.8556,7597.52,2,0.5,0.5,1.0,2.0,0.0,10.0,323,1,108
Momentum Agent,momentum,1.9938,2.5,0.95,6585.0,207.95,2.78,216.0,6.2,6152.08,0.0643,10.0,95.83,S,0.9969,0.7494,0.8556,7597.52,2,0.5,0.4,1.0,2.0,0.0,10.0,323,1,108
Momentum Agent,momentum,1.8244,2.9,0.95,6992.74,220.82,91.58,176.0,7.19,6497.15,0.0651,10.0,95.7,S,0.9122,0.7958,0.8501,7722.32,3,0.6,0.4,0.0,2.0,0.0,2.0,343,33,88
Momentum Agent,momentum,1.8244,2.9,0.95,6992.74,220.82,91.58,176.0,7.19,6497.15,0.0651,10.0,95.7,S,0.9122,0.7958,0.8501,7722.32,3,0.67,0.5,0.0,2.0,0.0,2.0,343,33,88
Momentum Agent,momentum,1.8244,2.9,0.95,6992.74,220.82,91.58,176.0,7.19,6497.15,0.0651,10.0,95.7,S,0.9122,0.7958,0.8501,7722.32,3,0.6,0.5,0.0,2.0,0.0,2.0,343,33,88
Momentum Agent,momentum,1.8244,2.9,0.95,6992.74,220.82,91.58,176.0,7.19,6497.15,0.0651,10.0,95.7,S,0.9122,0.7958,0.8501,7722.32,3,0.67,0.4,0.0,2.0,0.0,2.0,343,33,88
Momentum Agent,momentum,1.8148,2.9,0.95,6992.74,220.82,97.12,176.0,7.21,6491.58,0.0652,10.0,95.66,S,0.9074,0.7958,0.848,7692.32,3,0.5,0.4,0.0,2.0,0.0,2.0,343,35,88
Momentum Agent,momentum,1.8148,2.9,0.95,6992.74,220.82,97.12,176.0,7.21,6491.58,0.0652,10.0,95.66,S,0.9074,0.7958,0.848,7692.32,3,0.5,0.5,0.0,2.0,0.0,2.0,343,35,88
Momentum Agent,momentum,1.836,2.8,0.95,6850.03,216.32,83.25,190.0,6.98,6353.48,0.0651,10.0,95.56,S,0.918,0.7796,0.8432,7555.64,3,0.67,0.4,0.0,2.0,0.0,5.0,336,30,95
Momentum Agent,momentum,1.836,2.8,0.95,6850.03,216.32,83.25,190.0,6.98,6353.48,0.0651,10.0,95.56,S,0.918,0.7796,0.8432,7555.64,3,0.6,0.4,0.0,2.0,0.0,5.0,336,30,95
Momentum Agent,momentum,1.836,2.8,0.95,6850.03,216.32,83.25,190.0,6.98,6353.48,0.0651,10.0,95.56,S,0.918,0.7796,0.8432,7555.64,3,0.67,0.5,0.0,2.0,0.0,5.0,336,30,95
Momentum Agent,momentum,1.836,2.8,0.95,6850.03,216.32,83.25,190.0,6.98,6353.48,0.0651,10.0,95.56,S,0.918,0.7796,0.8432,7555.64,3,0.6,0.5,0.0,2.0,0.0,5.0,336,30,95
Momentum Agent,momentum,1.826,2.8,0.95,6850.03,216.32,88.8,190.0,7.03,6347.89,0.0651,10.0,95.52,S,0.913,0.7796,0.8411,7525.64,3,0.5,0.5,0.0,2.0,0.0,5.0,336,32,95
Momentum Agent,momentum,1.826,2.8,0.95,6850.03,216.32,88.8,190.0,7.03,6347.89,0.0651,10.0,95.52,S,0.913,0.7796,0.8411,7525.64,3,0.5,0.4,0.0,2.0,0.0,5.0,336,32,95
Momentum Agent,momentum,2.0,2.3,0.95,6238.42,197.0,0.0,250.0,5.85,5785.57,0.0643,10.0,95.32,S,1.0,0.71,0.8304,7098.44,2,0.75,0.5,1.0,2.0,0.0,2.0,306,0,125
Momentum Agent,momentum,2.0,2.3,0.95,6238.42,197.0,0.0,250.0,5.85,5785.57,0.0643,10.0,95.32,S,1.0,0.71,0.8304,7098.44,2,0.8,0.5,1.0,2.0,0.0,2.0,306,0,125
Momentum Agent,momentum,2.0,2.3,0.95,6238.42,197.0,0.0,250.0,5.85,5785.57,0.0643,10.0,95.32,S,1.0,0.71,0.8304,7098.44,2,0.9,0.4,1.0,2.0,0.0,2.0,306,0,125
Momentum Agent,momentum,2.0,2.3,0.95,6238.42,197.0,0.0,250.0,5.85,5785.57,0.0643,10.0,95.32,S,1.0,0.71,0.8304,7098.44,2,0.75,0.4,1.0,2.0,0.0,2.0,306,0,125
Momentum Agent,momentum,2.0,2.3,0.95,6238.42,197.0,0.0,250.0,5.85,5785.57,0.0643,10.0,95.32,S,1.0,0.71,0.8304,7098.44,2,0.9,0.5,1.0,2.0,0.0,2.0,306,0,125
Momentum Agent,momentum,2.0,2.3,0.95,6238.42,197.0,0.0,250.0,5.85,5785.57,0.0643,10.0,95.32,S,1.0,0.71,0.8304,7098.44,2,0.8,0.4,1.0,2.0,0.0,2.0,306,0,125
Momentum Agent,momentum,1.8458,2.7,0.95,6585.0,207.95,74.93,216.0,6.68,6079.45,0.065,10.0,95.24,S,0.9229,0.7494,0.8271,7207.52,2,0.67,0.4,0.0,2.0,0.0,10.0,323,27,108
Momentum Agent,momentum,1.8458,2.7,0.95,6585.0,207.95,74.93,216.0,6.68,6079.45,0.065,10.0,95.24,S,0.9229,0.7494,0.8271,7207.52,2,0.6,0.4,0.0,2.0,0.0,10.0,323,27,108
Momentum Agent,momentum,1.8458,2.7,0.95,6585.0,207.95,74.93,216.0,6.68,6079.45,0.065,10.0,95.24,S,0.9229,0.7494,0.8271,7207.52,2,0.6,0.5,0.0,2.0,0.0,10.0,323,27,108
Momentum Agent,momentum,1.8458,2.7,0.95,6585.0,207.95,74.93,216.0,6.68,6079.45,0.065,10.0,95.24,S,0.9229,0.7494,0.8271,7207.52,2,0.67,0.5,0.0,2.0,0.0,10.0,323,27,108
Momentum Agent,momentum,1.8352,2.7,0.95,6585.0,207.95,80.48,216.0,6.73,6073.85,0.0651,10.0,95.2,S,0.9176,0.7494,0.825,7177.52,2,0.5,0.4,0.0,2.0,0.0,10.0,323,29,108
Momentum Agent,momentum,1.8352,2.7,0.95,6585.0,207.95,80.48,216.0,6.73,6073.85,0.0651,10.0,95.2,S,0.9176,0.7494,0.825,7177.52,2,0.5,0.5,0.0,2.0,0.0,10.0,323,29,108
Momentum Agent,momentum,2.0,2.3,0.95,6136.49,193.78,0.0,260.0,5.76,5676.95,0.0643,10.0,95.16,S,1.0,0.6984,0.8224,6947.24,2,0.75,0.4,1.0,2.0,0.0,5.0,301,0,130
Momentum Agent,momentum,2.0,2.3,0.95,6136.49,193.78,0.0,260.0,5.76,5676.95,0.0643,10.0,95.16,S,1.0,0.6984,0.8224,6947.24,2,0.9,0.4,1.0,2.0,0.0,5.0,301,0,130
Momentum Agent,momentum,2.0,2.3,0.95,6136.49,193.78,0.0,260.0,5.76,5676.95,0.0643,10.0,95.16,S,1.0,0.6984,0.8224,6947.24,2,0.8,0.5,1.0,2.0,0.0,5.0,301,0,130
Momentum Agent,momentum,2.0,2.3,0.95,6136.49,193.78,0.0,260.0,5.76,5676.95,0.0643,10.0,95.16,S,1.0,0.6984,0.8224,6947.24,2,0.9,0.5,1.0,2.0,0.0,5.0,301,0,130
Momentum Agent,momentum,2.0,2.3,0.95,6136.49,193.78,0.0,260.0,5.76,5676.95,0.0643,10.0,95.16,S,1.0,0.6984,0.8224,6947.24,2,0.8,0.4,1.0,2.0,0.0,5.0,301,0,130
Momentum Agent,momentum,2.0,2.3,0.95,6136.49,193.78,0.0,260.0,5.76,5676.95,0.0643,10.0,95.16,S,1.0,0.6984,0.8224,6947.24,2,0.75,0.5,1.0,2.0,0.0,5.0,301,0,130
Momentum Agent,momentum,2.0,2.2,0.95,5912.23,186.7,0.0,282.0,5.55,5437.98,0.0643,10.0,94.8,S,1.0,0.6729,0.8044,6614.6,2,0.8,0.4,1.0,2.0,0.0,10.0,290,0,141
Momentum Agent,momentum,2.0,2.2,0.95,5912.23,186.7,0.0,282.0,5.55,5437.98,0.0643,10.0,94.8,S,1.0,0.6729,0.8044,6614.6,2,0.9,0.5,1.0,2.0,0.0,10.0,290,0,141
